tenis_marca,tenis_estilo,tenis_cores,tenis_preco,label
Marca_97,Estilo_2,Cor_1,195.5,0
Marca_98,Estilo_3,Cor_2,197.0,1
Marca_99,Estilo_4,Cor_0,198.5,0
Marca_100,Estilo_0,Cor_1,200.0,1
Marca_101,Estilo_1,Cor_2,201.5,0
Marca_102,Estilo_2,Cor_0,203.0,1
Marca_103,Estilo_3,Cor_1,204.5,0
Marca_104,Estilo_4,Cor_2,206.0,1
Marca_105,Estilo_0,Cor_0,207.5,0
Marca_106,Estilo_1,Cor_1,209.0,1
Marca_107,Estilo_2,Cor_2,210.5,0
Marca_108,Estilo_3,Cor_0,212.0,1
Marca_109,Estilo_4,Cor_1,213.5,0
Marca_110,Estilo_0,Cor_2,215.0,1
Marca_111,Estilo_1,Cor_0,216.5,0
Marca_112,Estilo_2,Cor_1,218.0,1
Marca_113,Estilo_3,Cor_2,219.5,0
Marca_114,Estilo_4,Cor_0,221.0,1
Marca_115,Estilo_0,Cor_1,222.5,0
Marca_116,Estilo_1,Cor_2,224.0,1
Marca_117,Estilo_2,Cor_0,225.5,0
Marca_118,Estilo_3,Cor_1,227.0,1
Marca_119,Estilo_4,Cor_2,228.5,0
Marca_120,Estilo_0,Cor_0,230.0,1
Marca_121,Estilo_1,Cor_1,231.5,0
Marca_122,Estilo_2,Cor_2,233.0,1
Marca_123,Estilo_3,Cor_0,234.5,0
Marca_124,Estilo_4,Cor_1,236.0,1
Marca_125,Estilo_0,Cor_2,237.5,0
Marca_126,Estilo_1,Cor_0,239.0,1
Marca_127,Estilo_2,Cor_1,240.5,0
Marca_128,Estilo_3,Cor_2,242.0,1
Marca_129,Estilo_4,Cor_0,243.5,0
Marca_130,Estilo_0,Cor_1,245.0,1
Marca_131,Estilo_1,Cor_2,246.5,0
Marca_132,Estilo_2,Cor_0,248.0,1
Marca_133,Estilo_3,Cor_1,249.5,0
Marca_134,Estilo_4,Cor_2,251.0,1
Marca_135,Estilo_0,Cor_0,252.5,0
Marca_136,Estilo_1,Cor_1,254.0,1
Marca_137,Estilo_2,Cor_2,255.5,0
Marca_138,Estilo_3,Cor_0,257.0,1
Marca_139,Estilo_4,Cor_1,258.5,0
Marca_140,Estilo_0,Cor_2,260.0,1
Marca_141,Estilo_1,Cor_0,261.5,0
Marca_142,Estilo_2,Cor_1,263.0,1
Marca_143,Estilo_3,Cor_2,264.5,0
Marca_144,Estilo_4,Cor_0,266.0,1
Marca_145,Estilo_0,Cor_1,267.5,0
Marca_146,Estilo_1,Cor_2,269.0,1
Marca_147,Estilo_2,Cor_0,270.5,0
Marca_148,Estilo_3,Cor_1,272.0,1
Marca_149,Estilo_4,Cor_2,273.5,0
Marca_150,Estilo_0,Cor_0,275.0,1
Marca_151,Estilo_1,Cor_1,276.5,0
Marca_152,Estilo_2,Cor_2,278.0,1
Marca_153,Estilo_3,Cor_0,279.5,0
Marca_154,Estilo_4,Cor_1,281.0,1
Marca_155,Estilo_0,Cor_2,282.5,0
Marca_156,Estilo_1,Cor_0,284.0,1
Marca_157,Estilo_2,Cor_1,285.5,0
Marca_158,Estilo_3,Cor_2,287.0,1
Marca_159,Estilo_4,Cor_0,288.5,0
Marca_160,Estilo_0,Cor_1,290.0,1
Marca_161,Estilo_1,Cor_2,291.5,0
Marca_162,Estilo_2,Cor_0,293.0,1
Marca_163,Estilo_3,Cor_1,294.5,0
Marca_164,Estilo_4,Cor_2,296.0,1
Marca_165,Estilo_0,Cor_0,297.5,0
Marca_166,Estilo_1,Cor_1,299.0,1
Marca_167,Estilo_2,Cor_2,300.5,0
Marca_168,Estilo_3,Cor_0,302.0,1
Marca_169,Estilo_4,Cor_1,303.5,0
Marca_170,Estilo_0,Cor_2,305.0,1
Marca_171,Estilo_1,Cor_0,306.5,0
Marca_172,Estilo_2,Cor_1,308.0,1
Marca_173,Estilo_3,Cor_2,309.5,0
Marca_174,Estilo_4,Cor_0,311.0,1
Marca_175,Estilo_0,Cor_1,312.5,0
Marca_176,Estilo_1,Cor_2,314.0,1
Marca_177,Estilo_2,Cor_0,315.5,0
Marca_178,Estilo_3,Cor_1,317.0,1
Marca_179,Estilo_4,Cor_2,318.5,0
Marca_180,Estilo_0,Cor_0,320.0,1
Marca_181,Estilo_1,Cor_1,321.5,0
Marca_182,Estilo_2,Cor_2,323.0,1
Marca_183,Estilo_3,Cor_0,324.5,0
Marca_184,Estilo_4,Cor_1,326.0,1
Marca_185,Estilo_0,Cor_2,327.5,0
Marca_186,Estilo_1,Cor_0,329.0,1
Marca_187,Estilo_2,Cor_1,330.5,0
Marca_188,Estilo_3,Cor_2,332.0,1
Marca_189,Estilo_4,Cor_0,333.5,0
Marca_190,Estilo_0,Cor_1,335.0,1
Marca_191,Estilo_1,Cor_2,336.5,0
Marca_192,Estilo_2,Cor_0,338.0,1
Marca_193,Estilo_3,Cor_1,339.5,0
Marca_194,Estilo_4,Cor_2,341.0,1
Marca_195,Estilo_0,Cor_0,342.5,0
Marca_196,Estilo_1,Cor_1,344.0,1
Marca_197,Estilo_2,Cor_2,345.5,0
Marca_198,Estilo_3,Cor_0,347.0,1
Marca_199,Estilo_4,Cor_1,348.5,0
Marca_200,Estilo_0,Cor_2,350.0,1
Marca_201,Estilo_1,Cor_0,351.5,0
Marca_202,Estilo_2,Cor_1,353.0,1
Marca_203,Estilo_3,Cor_2,354.5,0
Marca_204,Estilo_4,Cor_0,356.0,1
Marca_205,Estilo_0,Cor_1,357.5,0
Marca_206,Estilo_1,Cor_2,359.0,1
Marca_207,Estilo_2,Cor_0,360.5,0
Marca_208,Estilo_3,Cor_1,362.0,1
Marca_209,Estilo_4,Cor_2,363.5,0
Marca_210,Estilo_0,Cor_0,365.0,1
Marca_211,Estilo_1,Cor_1,366.5,0
Marca_212,Estilo_2,Cor_2,368.0,1
Marca_213,Estilo_3,Cor_0,369.5,0
Marca_214,Estilo_4,Cor_1,371.0,1
Marca_215,Estilo_0,Cor_2,372.5,0
Marca_216,Estilo_1,Cor_0,374.0,1
Marca_217,Estilo_2,Cor_1,375.5,0
Marca_218,Estilo_3,Cor_2,377.0,1
Marca_219,Estilo_4,Cor_0,378.5,0
Marca_220,Estilo_0,Cor_1,380.0,1
Marca_221,Estilo_1,Cor_2,381.5,0
Marca_222,Estilo_2,Cor_0,383.0,1
Marca_223,Estilo_3,Cor_1,384.5,0
Marca_224,Estilo_4,Cor_2,386.0,1
Marca_225,Estilo_0,Cor_0,387.5,0
Marca_226,Estilo_1,Cor_1,389.0,1
Marca_227,Estilo_2,Cor_2,390.5,0
Marca_228,Estilo_3,Cor_0,392.0,1
Marca_229,Estilo_4,Cor_1,393.5,0
Marca_230,Estilo_0,Cor_2,395.0,1
Marca_231,Estilo_1,Cor_0,396.5,0
Marca_232,Estilo_2,Cor_1,398.0,1
Marca_233,Estilo_3,Cor_2,399.5,0
Marca_234,Estilo_4,Cor_0,401.0,1
Marca_235,Estilo_0,Cor_1,402.5,0
Marca_236,Estilo_1,Cor_2,404.0,1
Marca_237,Estilo_2,Cor_0,405.5,0
Marca_238,Estilo_3,Cor_1,407.0,1
Marca_239,Estilo_4,Cor_2,408.5,0
Marca_240,Estilo_0,Cor_0,410.0,1
Marca_241,Estilo_1,Cor_1,411.5,0
Marca_242,Estilo_2,Cor_2,413.0,1
Marca_243,Estilo_3,Cor_0,414.5,0
Marca_244,Estilo_4,Cor_1,416.0,1
Marca_245,Estilo_0,Cor_2,417.5,0
Marca_246,Estilo_1,Cor_0,419.0,1
Marca_247,Estilo_2,Cor_1,420.5,0
Marca_248,Estilo_3,Cor_2,422.0,1
Marca_249,Estilo_4,Cor_0,423.5,0
Marca_250,Estilo_0,Cor_1,425.0,1
Marca_251,Estilo_1,Cor_2,426.5,0
Marca_252,Estilo_2,Cor_0,428.0,1
Marca_253,Estilo_3,Cor_1,429.5,0
Marca_254,Estilo_4,Cor_2,431.0,1
Marca_255,Estilo_0,Cor_0,432.5,0
Marca_256,Estilo_1,Cor_1,434.0,1
Marca_257,Estilo_2,Cor_2,435.5,0
Marca_258,Estilo_3,Cor_0,437.0,1
Marca_259,Estilo_4,Cor_1,438.5,0
Marca_260,Estilo_0,Cor_2,440.0,1
Marca_261,Estilo_1,Cor_0,441.5,0
Marca_262,Estilo_2,Cor_1,443.0,1
Marca_263,Estilo_3,Cor_2,444.5,0
Marca_264,Estilo_4,Cor_0,446.0,1
Marca_265,Estilo_0,Cor_1,447.5,0
Marca_266,Estilo_1,Cor_2,449.0,1
Marca_267,Estilo_2,Cor_0,450.5,0
Marca_268,Estilo_3,Cor_1,452.0,1
Marca_269,Estilo_4,Cor_2,453.5,0
Marca_270,Estilo_0,Cor_0,455.0,1
Marca_271,Estilo_1,Cor_1,456.5,0
Marca_272,Estilo_2,Cor_2,458.0,1
Marca_273,Estilo_3,Cor_0,459.5,0
Marca_274,Estilo_4,Cor_1,461.0,1
Marca_275,Estilo_0,Cor_2,462.5,0
Marca_276,Estilo_1,Cor_0,464.0,1
Marca_277,Estilo_2,Cor_1,465.5,0
Marca_278,Estilo_3,Cor_2,467.0,1
Marca_279,Estilo_4,Cor_0,468.5,0
Marca_280,Estilo_0,Cor_1,470.0,1
Marca_281,Estilo_1,Cor_2,471.5,0
Marca_282,Estilo_2,Cor_0,473.0,1
Marca_283,Estilo_3,Cor_1,474.5,0
Marca_284,Estilo_4,Cor_2,476.0,1
Marca_285,Estilo_0,Cor_0,477.5,0
Marca_286,Estilo_1,Cor_1,479.0,1
Marca_287,Estilo_2,Cor_2,480.5,0
Marca_288,Estilo_3,Cor_0,482.0,1
Marca_289,Estilo_4,Cor_1,483.5,0
Marca_290,Estilo_0,Cor_2,485.0,1
Marca_291,Estilo_1,Cor_0,486.5,0
Marca_292,Estilo_2,Cor_1,488.0,1
Marca_293,Estilo_3,Cor_2,489.5,0
Marca_294,Estilo_4,Cor_0,491.0,1
Marca_295,Estilo_0,Cor_1,492.5,0
Marca_296,Estilo_1,Cor_2,494.0,1
Marca_297,Estilo_2,Cor_0,495.5,0
Marca_298,Estilo_3,Cor_1,497.0,1
Marca_299,Estilo_4,Cor_2,498.5,0
Marca_300,Estilo_0,Cor_0,500.0,1
Marca_301,Estilo_1,Cor_1,501.5,0
Marca_302,Estilo_2,Cor_2,503.0,1
Marca_303,Estilo_3,Cor_0,504.5,0
Marca_304,Estilo_4,Cor_1,506.0,1
Marca_305,Estilo_0,Cor_2,507.5,0
Marca_306,Estilo_1,Cor_0,509.0,1
Marca_307,Estilo_2,Cor_1,510.5,0
Marca_308,Estilo_3,Cor_2,512.0,1
Marca_309,Estilo_4,Cor_0,513.5,0
Marca_310,Estilo_0,Cor_1,515.0,1
Marca_311,Estilo_1,Cor_2,516.5,0
Marca_312,Estilo_2,Cor_0,518.0,1
Marca_313,Estilo_3,Cor_1,519.5,0
Marca_314,Estilo_4,Cor_2,521.0,1
Marca_315,Estilo_0,Cor_0,522.5,0
Marca_316,Estilo_1,Cor_1,524.0,1
Marca_317,Estilo_2,Cor_2,525.5,0
Marca_318,Estilo_3,Cor_0,527.0,1
Marca_319,Estilo_4,Cor_1,528.5,0
Marca_320,Estilo_0,Cor_2,530.0,1
Marca_321,Estilo_1,Cor_0,531.5,0
Marca_322,Estilo_2,Cor_1,533.0,1
Marca_323,Estilo_3,Cor_2,534.5,0
Marca_324,Estilo_4,Cor_0,536.0,1
Marca_325,Estilo_0,Cor_1,537.5,0
Marca_326,Estilo_1,Cor_2,539.0,1
Marca_327,Estilo_2,Cor_0,540.5,0
Marca_328,Estilo_3,Cor_1,542.0,1
Marca_329,Estilo_4,Cor_2,543.5,0
Marca_330,Estilo_0,Cor_0,545.0,1
Marca_331,Estilo_1,Cor_1,546.5,0
Marca_332,Estilo_2,Cor_2,548.0,1
Marca_333,Estilo_3,Cor_0,549.5,0
Marca_334,Estilo_4,Cor_1,551.0,1
Marca_335,Estilo_0,Cor_2,552.5,0
Marca_336,Estilo_1,Cor_0,554.0,1
Marca_337,Estilo_2,Cor_1,555.5,0
Marca_338,Estilo_3,Cor_2,557.0,1
Marca_339,Estilo_4,Cor_0,558.5,0
Marca_340,Estilo_0,Cor_1,560.0,1
Marca_341,Estilo_1,Cor_2,561.5,0
Marca_342,Estilo_2,Cor_0,563.0,1
Marca_343,Estilo_3,Cor_1,564.5,0
Marca_344,Estilo_4,Cor_2,566.0,1
Marca_345,Estilo_0,Cor_0,567.5,0
Marca_346,Estilo_1,Cor_1,569.0,1
Marca_347,Estilo_2,Cor_2,570.5,0
Marca_348,Estilo_3,Cor_0,572.0,1
Marca_349,Estilo_4,Cor_1,573.5,0
Marca_350,Estilo_0,Cor_2,575.0,1
Marca_351,Estilo_1,Cor_0,576.5,0
Marca_352,Estilo_2,Cor_1,578.0,1
Marca_353,Estilo_3,Cor_2,579.5,0
Marca_354,Estilo_4,Cor_0,581.0,1
Marca_355,Estilo_0,Cor_1,582.5,0
Marca_356,Estilo_1,Cor_2,584.0,1
Marca_357,Estilo_2,Cor_0,585.5,0
Marca_358,Estilo_3,Cor_1,587.0,1
Marca_359,Estilo_4,Cor_2,588.5,0
Marca_360,Estilo_0,Cor_0,590.0,1
Marca_361,Estilo_1,Cor_1,591.5,0
Marca_362,Estilo_2,Cor_2,593.0,1
Marca_363,Estilo_3,Cor_0,594.5,0
Marca_364,Estilo_4,Cor_1,596.0,1
Marca_365,Estilo_0,Cor_2,597.5,0
Marca_366,Estilo_1,Cor_0,599.0,1
Marca_367,Estilo_2,Cor_1,600.5,0
Marca_368,Estilo_3,Cor_2,602.0,1
Marca_369,Estilo_4,Cor_0,603.5,0
Marca_370,Estilo_0,Cor_1,605.0,1
Marca_371,Estilo_1,Cor_2,606.5,0
Marca_372,Estilo_2,Cor_0,608.0,1
Marca_373,Estilo_3,Cor_1,609.5,0
Marca_374,Estilo_4,Cor_2,611.0,1
Marca_375,Estilo_0,Cor_0,612.5,0
Marca_376,Estilo_1,Cor_1,614.0,1
Marca_377,Estilo_2,Cor_2,615.5,0
Marca_378,Estilo_3,Cor_0,617.0,1
Marca_379,Estilo_4,Cor_1,618.5,0
Marca_380,Estilo_0,Cor_2,620.0,1
Marca_381,Estilo_1,Cor_0,621.5,0
Marca_382,Estilo_2,Cor_1,623.0,1
Marca_383,Estilo_3,Cor_2,624.5,0
Marca_384,Estilo_4,Cor_0,626.0,1
Marca_385,Estilo_0,Cor_1,627.5,0
Marca_386,Estilo_1,Cor_2,629.0,1
Marca_387,Estilo_2,Cor_0,630.5,0
Marca_388,Estilo_3,Cor_1,632.0,1
Marca_389,Estilo_4,Cor_2,633.5,0
Marca_390,Estilo_0,Cor_0,635.0,1
Marca_391,Estilo_1,Cor_1,636.5,0
Marca_392,Estilo_2,Cor_2,638.0,1
Marca_393,Estilo_3,Cor_0,639.5,0
Marca_394,Estilo_4,Cor_1,641.0,1
Marca_395,Estilo_0,Cor_2,642.5,0
Marca_396,Estilo_1,Cor_0,644.0,1
Marca_397,Estilo_2,Cor_1,645.5,0
Marca_398,Estilo_3,Cor_2,647.0,1
Marca_399,Estilo_4,Cor_0,648.5,0
Marca_400,Estilo_0,Cor_1,650.0,1
Marca_401,Estilo_1,Cor_2,651.5,0
Marca_402,Estilo_2,Cor_0,653.0,1
Marca_403,Estilo_3,Cor_1,654.5,0
Marca_404,Estilo_4,Cor_2,656.0,1
Marca_405,Estilo_0,Cor_0,657.5,0
Marca_406,Estilo_1,Cor_1,659.0,1
Marca_407,Estilo_2,Cor_2,660.5,0
Marca_408,Estilo_3,Cor_0,662.0,1
Marca_409,Estilo_4,Cor_1,663.5,0
Marca_410,Estilo_0,Cor_2,665.0,1
Marca_411,Estilo_1,Cor_0,666.5,0
Marca_412,Estilo_2,Cor_1,668.0,1
Marca_413,Estilo_3,Cor_2,669.5,0
Marca_414,Estilo_4,Cor_0,671.0,1
Marca_415,Estilo_0,Cor_1,672.5,0
Marca_416,Estilo_1,Cor_2,674.0,1
Marca_417,Estilo_2,Cor_0,675.5,0
Marca_418,Estilo_3,Cor_1,677.0,1
Marca_419,Estilo_4,Cor_2,678.5,0
Marca_420,Estilo_0,Cor_0,680.0,1
Marca_421,Estilo_1,Cor_1,681.5,0
Marca_422,Estilo_2,Cor_2,683.0,1
Marca_423,Estilo_3,Cor_0,684.5,0
Marca_424,Estilo_4,Cor_1,686.0,1
Marca_425,Estilo_0,Cor_2,687.5,0
Marca_426,Estilo_1,Cor_0,689.0,1
Marca_427,Estilo_2,Cor_1,690.5,0
Marca_428,Estilo_3,Cor_2,692.0,1
Marca_429,Estilo_4,Cor_0,693.5,0
Marca_430,Estilo_0,Cor_1,695.0,1
Marca_431,Estilo_1,Cor_2,696.5,0
Marca_432,Estilo_2,Cor_0,698.0,1
Marca_433,Estilo_3,Cor_1,699.5,0
Marca_434,Estilo_4,Cor_2,701.0,1
Marca_435,Estilo_0,Cor_0,702.5,0
Marca_436,Estilo_1,Cor_1,704.0,1
Marca_437,Estilo_2,Cor_2,705.5,0
Marca_438,Estilo_3,Cor_0,707.0,1
Marca_439,Estilo_4,Cor_1,708.5,0
Marca_440,Estilo_0,Cor_2,710.0,1
Marca_441,Estilo_1,Cor_0,711.5,0
Marca_442,Estilo_2,Cor_1,713.0,1
Marca_443,Estilo_3,Cor_2,714.5,0
Marca_444,Estilo_4,Cor_0,716.0,1
Marca_445,Estilo_0,Cor_1,717.5,0
Marca_446,Estilo_1,Cor_2,719.0,1
Marca_447,Estilo_2,Cor_0,720.5,0
Marca_448,Estilo_3,Cor_1,722.0,1
Marca_449,Estilo_4,Cor_2,723.5,0
Marca_450,Estilo_0,Cor_0,725.0,1
Marca_451,Estilo_1,Cor_1,726.5,0
Marca_452,Estilo_2,Cor_2,728.0,1
Marca_453,Estilo_3,Cor_0,729.5,0
Marca_454,Estilo_4,Cor_1,731.0,1
Marca_455,Estilo_0,Cor_2,732.5,0
Marca_456,Estilo_1,Cor_0,734.0,1
Marca_457,Estilo_2,Cor_1,735.5,0
Marca_458,Estilo_3,Cor_2,737.0,1
Marca_459,Estilo_4,Cor_0,738.5,0
Marca_460,Estilo_0,Cor_1,740.0,1
Marca_461,Estilo_1,Cor_2,741.5,0
Marca_462,Estilo_2,Cor_0,743.0,1
Marca_463,Estilo_3,Cor_1,744.5,0
Marca_464,Estilo_4,Cor_2,746.0,1
Marca_465,Estilo_0,Cor_0,747.5,0
Marca_466,Estilo_1,Cor_1,749.0,1
Marca_467,Estilo_2,Cor_2,750.5,0
Marca_468,Estilo_3,Cor_0,752.0,1
Marca_469,Estilo_4,Cor_1,753.5,0
Marca_470,Estilo_0,Cor_2,755.0,1
Marca_471,Estilo_1,Cor_0,756.5,0
Marca_472,Estilo_2,Cor_1,758.0,1
Marca_473,Estilo_3,Cor_2,759.5,0
Marca_474,Estilo_4,Cor_0,761.0,1
Marca_475,Estilo_0,Cor_1,762.5,0
Marca_476,Estilo_1,Cor_2,764.0,1
Marca_477,Estilo_2,Cor_0,765.5,0
Marca_478,Estilo_3,Cor_1,767.0,1
Marca_479,Estilo_4,Cor_2,768.5,0
Marca_480,Estilo_0,Cor_0,770.0,1
Marca_481,Estilo_1,Cor_1,771.5,0
Marca_482,Estilo_2,Cor_2,773.0,1
Marca_483,Estilo_3,Cor_0,774.5,0
Marca_484,Estilo_4,Cor_1,776.0,1
Marca_485,Estilo_0,Cor_2,777.5,0
Marca_486,Estilo_1,Cor_0,779.0,1
Marca_487,Estilo_2,Cor_1,780.5,0
Marca_488,Estilo_3,Cor_2,782.0,1
Marca_489,Estilo_4,Cor_0,783.5,0
Marca_490,Estilo_0,Cor_1,785.0,1
Marca_491,Estilo_1,Cor_2,786.5,0
Marca_492,Estilo_2,Cor_0,788.0,1
Marca_493,Estilo_3,Cor_1,789.5,0
Marca_494,Estilo_4,Cor_2,791.0,1
Marca_495,Estilo_0,Cor_0,792.5,0
Marca_496,Estilo_1,Cor_1,794.0,1
Marca_497,Estilo_2,Cor_2,795.5,0
Marca_498,Estilo_3,Cor_0,797.0,1
Marca_499,Estilo_4,Cor_1,798.5,0
Marca_500,Estilo_0,Cor_2,800.0,1
Marca_501,Estilo_1,Cor_0,801.5,0
Marca_502,Estilo_2,Cor_1,803.0,1
Marca_503,Estilo_3,Cor_2,804.5,0
Marca_504,Estilo_4,Cor_0,806.0,1
Marca_505,Estilo_0,Cor_1,807.5,0
Marca_506,Estilo_1,Cor_2,809.0,1
Marca_507,Estilo_2,Cor_0,810.5,0
Marca_508,Estilo_3,Cor_1,812.0,1
Marca_509,Estilo_4,Cor_2,813.5,0
Marca_510,Estilo_0,Cor_0,815.0,1
Marca_511,Estilo_1,Cor_1,816.5,0
Marca_512,Estilo_2,Cor_2,818.0,1
Marca_513,Estilo_3,Cor_0,819.5,0
Marca_514,Estilo_4,Cor_1,821.0,1
Marca_515,Estilo_0,Cor_2,822.5,0
Marca_516,Estilo_1,Cor_0,824.0,1
Marca_517,Estilo_2,Cor_1,825.5,0
Marca_518,Estilo_3,Cor_2,827.0,1
Marca_519,Estilo_4,Cor_0,828.5,0
Marca_520,Estilo_0,Cor_1,830.0,1
Marca_521,Estilo_1,Cor_2,831.5,0
Marca_522,Estilo_2,Cor_0,833.0,1
Marca_523,Estilo_3,Cor_1,834.5,0
Marca_524,Estilo_4,Cor_2,836.0,1
Marca_525,Estilo_0,Cor_0,837.5,0
Marca_526,Estilo_1,Cor_1,839.0,1
Marca_527,Estilo_2,Cor_2,840.5,0
Marca_528,Estilo_3,Cor_0,842.0,1
Marca_529,Estilo_4,Cor_1,843.5,0
Marca_530,Estilo_0,Cor_2,845.0,1
Marca_531,Estilo_1,Cor_0,846.5,0
Marca_532,Estilo_2,Cor_1,848.0,1
Marca_533,Estilo_3,Cor_2,849.5,0
Marca_534,Estilo_4,Cor_0,851.0,1
Marca_535,Estilo_0,Cor_1,852.5,0
Marca_536,Estilo_1,Cor_2,854.0,1
Marca_537,Estilo_2,Cor_0,855.5,0
Marca_538,Estilo_3,Cor_1,857.0,1
Marca_539,Estilo_4,Cor_2,858.5,0
Marca_540,Estilo_0,Cor_0,860.0,1
Marca_541,Estilo_1,Cor_1,861.5,0
Marca_542,Estilo_2,Cor_2,863.0,1
Marca_543,Estilo_3,Cor_0,864.5,0
Marca_544,Estilo_4,Cor_1,866.0,1
Marca_545,Estilo_0,Cor_2,867.5,0
Marca_546,Estilo_1,Cor_0,869.0,1
Marca_547,Estilo_2,Cor_1,870.5,0
Marca_548,Estilo_3,Cor_2,872.0,1
Marca_549,Estilo_4,Cor_0,873.5,0
Marca_550,Estilo_0,Cor_1,875.0,1
Marca_551,Estilo_1,Cor_2,876.5,0
Marca_552,Estilo_2,Cor_0,878.0,1
Marca_553,Estilo_3,Cor_1,879.5,0
Marca_554,Estilo_4,Cor_2,881.0,1
Marca_555,Estilo_0,Cor_0,882.5,0
Marca_556,Estilo_1,Cor_1,884.0,1
