style,brand,color,price,occasion,match_success
FAS,Vans,BLK,125,casual,1
FAS,Converse,WHT,903,sport,0
VIN,Adidas,COL,356,sport,0
SOC,Vans,WHT,865,casual,0
SOC,Vans,BLK,206,sport,1
FAS,Adidas,WHT,282,casual,0
CAS,Vans,WHT,894,formal,0
ESP,New Balance,WHT,311,formal,1
ESP,Nike,WHT,113,formal,1
ESP,Adidas,WHT,301,sport,1
FAS,Adidas,BLK,655,sport,0
ESP,Nike,WHT,967,sport,0
CAS,Nike,WHT,164,casual,1
CAS,Adidas,WHT,563,casual,1
VIN,Converse,NEU,694,sport,0
CAS,Adidas,COL,193,formal,0
CAS,Converse,WHT,301,casual,1
SOC,New Balance,WHT,763,casual,0
FAS,Nike,BLK,993,sport,1
ESP,Converse,WHT,232,casual,1
SOC,Nike,NEU,345,sport,1
FAS,Vans,BLK,477,casual,1
CAS,New Balance,BLK,943,formal,1
ESP,New Balance,BLK,290,formal,0
VIN,Nike,WHT,270,casual,0
ESP,Converse,WHT,281,casual,0
FAS,Adidas,WHT,977,formal,1
SOC,Converse,NEU,978,sport,0
CAS,Converse,WHT,736,sport,1
FAS,Nike,BLK,423,formal,1
CAS,Adidas,BLK,972,casual,1
FAS,Adidas,NEU,167,formal,1
CAS,New Balance,COL,494,formal,0
ESP,Adidas,WHT,200,sport,1
SOC,Vans,BLK,907,sport,0
FAS,Converse,NEU,368,formal,0
FAS,Adidas,WHT,891,casual,1
CAS,Converse,BLK,167,sport,1
FAS,Vans,WHT,957,casual,0
ESP,Vans,COL,159,formal,1
ESP,Converse,BLK,813,sport,0
SOC,Converse,BLK,471,casual,0
ESP,Adidas,COL,787,formal,0
VIN,Nike,COL,426,sport,1
CAS,Vans,NEU,501,formal,1
ESP,Adidas,WHT,693,sport,0
FAS,Adidas,NEU,898,formal,1
CAS,New Balance,COL,249,casual,0
ESP,Adidas,BLK,372,formal,1
ESP,Nike,WHT,817,casual,1
CAS,Nike,COL,395,sport,1
FAS,Vans,BLK,290,formal,1
ESP,Adidas,WHT,280,casual,1
SOC,New Balance,NEU,299,sport,1
ESP,Adidas,WHT,225,formal,1
VIN,New Balance,WHT,945,formal,1
ESP,New Balance,BLK,676,formal,1
ESP,Adidas,WHT,852,formal,0
FAS,New Balance,COL,828,casual,1
SOC,Converse,WHT,888,formal,1
SOC,New Balance,BLK,112,sport,0
FAS,Converse,NEU,539,casual,1
CAS,Nike,NEU,824,sport,1
VIN,Converse,BLK,585,casual,1
SOC,Converse,WHT,554,formal,1
ESP,New Balance,BLK,788,casual,1
FAS,Adidas,WHT,356,casual,1
FAS,Vans,NEU,810,casual,0
VIN,Vans,COL,612,casual,0
VIN,Nike,BLK,618,sport,1
ESP,Adidas,WHT,581,formal,0
SOC,Converse,COL,240,sport,0
SOC,New Balance,NEU,311,formal,0
FAS,Adidas,COL,130,casual,1
SOC,Adidas,BLK,538,formal,0
CAS,Vans,WHT,109,sport,1
CAS,New Balance,COL,959,formal,1
ESP,New Balance,WHT,911,sport,1
CAS,New Balance,WHT,210,formal,0
VIN,New Balance,NEU,878,sport,1
CAS,New Balance,WHT,907,sport,0
SOC,Vans,WHT,194,formal,0
SOC,New Balance,BLK,528,sport,0
VIN,Adidas,COL,178,sport,0
SOC,New Balance,BLK,900,casual,0
VIN,Adidas,WHT,267,sport,0
FAS,New Balance,BLK,151,casual,0
CAS,New Balance,WHT,810,sport,1
ESP,Vans,NEU,935,formal,0
SOC,Adidas,WHT,518,formal,1
FAS,Nike,NEU,139,casual,0
ESP,Nike,BLK,330,sport,1
ESP,New Balance,NEU,369,casual,1
FAS,Adidas,COL,404,casual,0
VIN,Vans,COL,207,sport,1
CAS,New Balance,NEU,450,formal,0
SOC,Converse,NEU,517,casual,0
VIN,Nike,NEU,342,formal,0
ESP,Nike,WHT,357,sport,1
FAS,Adidas,WHT,453,formal,1
ESP,Adidas,BLK,364,casual,1
SOC,Nike,BLK,461,formal,0
VIN,Nike,WHT,861,formal,1
VIN,Vans,NEU,796,formal,0
FAS,Vans,NEU,512,sport,0
ESP,Converse,WHT,215,casual,0
CAS,New Balance,BLK,910,casual,0
SOC,New Balance,WHT,518,sport,1
SOC,Adidas,COL,820,formal,0
CAS,Vans,BLK,789,sport,0
VIN,Vans,NEU,464,sport,0
ESP,Converse,NEU,558,sport,1
CAS,New Balance,BLK,732,formal,1
FAS,Nike,BLK,332,sport,0
VIN,Adidas,NEU,284,formal,1
SOC,New Balance,BLK,937,formal,0
CAS,Vans,WHT,419,formal,1
ESP,Nike,WHT,148,sport,1
FAS,New Balance,NEU,815,sport,1
CAS,Converse,COL,763,casual,0
ESP,Vans,BLK,270,casual,0
FAS,Converse,COL,771,casual,1
ESP,Nike,WHT,251,formal,0
CAS,Nike,NEU,318,formal,1
SOC,Converse,BLK,307,sport,0
CAS,Vans,COL,871,sport,1
ESP,Converse,BLK,636,sport,0
SOC,Converse,COL,454,sport,0
VIN,Nike,COL,200,sport,1
VIN,Adidas,BLK,551,casual,1
CAS,Converse,NEU,200,formal,1
VIN,Adidas,WHT,895,casual,1
ESP,Converse,WHT,224,casual,1
SOC,Converse,COL,561,casual,1
FAS,Nike,WHT,571,casual,1
ESP,New Balance,COL,885,casual,1
VIN,New Balance,NEU,845,casual,1
VIN,New Balance,NEU,867,casual,1
SOC,Adidas,BLK,552,sport,1
FAS,Vans,NEU,121,sport,0
SOC,New Balance,WHT,373,sport,0
CAS,Vans,BLK,431,casual,1
VIN,New Balance,NEU,754,formal,0
FAS,Vans,BLK,835,formal,0
SOC,Nike,BLK,885,formal,1
CAS,New Balance,NEU,899,casual,1
ESP,Vans,WHT,734,casual,1
FAS,Vans,WHT,643,casual,1
VIN,New Balance,BLK,956,sport,1
VIN,Converse,BLK,940,formal,1
VIN,Vans,COL,868,formal,1
ESP,Vans,COL,994,sport,1
VIN,Vans,BLK,890,casual,1
FAS,Nike,BLK,921,sport,0
ESP,Converse,BLK,386,formal,1
CAS,Adidas,BLK,271,sport,0
CAS,Vans,COL,664,sport,1
ESP,Converse,BLK,275,casual,1
FAS,Converse,BLK,111,casual,0
ESP,Vans,COL,234,casual,0
VIN,Nike,COL,969,casual,0
FAS,Adidas,COL,202,sport,1
FAS,Nike,COL,632,casual,1
VIN,Converse,NEU,566,sport,1
VIN,Adidas,WHT,938,casual,1
FAS,Vans,NEU,297,sport,1
CAS,New Balance,COL,532,casual,0
SOC,Adidas,BLK,794,sport,0
VIN,Vans,BLK,789,casual,0
VIN,Nike,COL,644,formal,0
ESP,Converse,BLK,937,sport,0
CAS,Adidas,COL,651,sport,1
ESP,Adidas,COL,379,formal,1
VIN,Vans,NEU,711,casual,1
FAS,Converse,BLK,837,sport,0
VIN,Nike,BLK,740,formal,1
VIN,Nike,COL,333,formal,1
CAS,Adidas,COL,223,formal,1
CAS,Nike,WHT,423,sport,1
VIN,Vans,WHT,907,formal,1
FAS,New Balance,BLK,512,casual,1
CAS,Nike,NEU,463,sport,1
SOC,Adidas,WHT,346,sport,0
VIN,New Balance,BLK,545,casual,0
CAS,Converse,BLK,368,casual,1
ESP,Converse,BLK,980,sport,0
CAS,Nike,NEU,188,formal,1
ESP,Vans,COL,740,sport,1
VIN,Adidas,BLK,100,formal,0
CAS,Vans,COL,711,formal,1
FAS,Vans,NEU,565,formal,1
VIN,New Balance,WHT,746,sport,1
CAS,New Balance,COL,783,formal,1
SOC,New Balance,NEU,612,formal,1
CAS,Converse,WHT,146,casual,0
FAS,Vans,BLK,213,formal,1
FAS,New Balance,COL,118,sport,1
VIN,Vans,NEU,225,formal,0
CAS,Converse,NEU,339,formal,0
SOC,Nike,BLK,199,sport,0
VIN,Converse,COL,257,casual,0
CAS,New Balance,COL,617,sport,1
FAS,New Balance,NEU,765,casual,0
VIN,Vans,BLK,241,formal,0
FAS,Adidas,NEU,338,sport,1
CAS,Adidas,BLK,183,formal,1
FAS,Adidas,WHT,304,sport,0
VIN,Nike,WHT,940,formal,0
VIN,Adidas,BLK,136,formal,1
FAS,Nike,NEU,837,casual,1
FAS,Converse,WHT,871,sport,1
FAS,Nike,NEU,519,formal,1
FAS,New Balance,NEU,415,sport,1
VIN,New Balance,WHT,444,sport,0
CAS,New Balance,NEU,194,sport,0
ESP,New Balance,BLK,136,formal,1
FAS,Nike,WHT,255,formal,1
SOC,Converse,COL,460,casual,1
VIN,New Balance,BLK,182,casual,1
SOC,New Balance,WHT,821,formal,1
FAS,New Balance,COL,902,formal,0
FAS,Adidas,WHT,878,casual,1
VIN,Converse,BLK,481,sport,1
FAS,Converse,COL,534,sport,1
SOC,Adidas,COL,620,sport,0
CAS,Vans,NEU,950,formal,1
ESP,Nike,WHT,901,sport,1
ESP,New Balance,BLK,979,sport,1
CAS,Adidas,NEU,201,formal,1
ESP,New Balance,COL,479,formal,1
CAS,Nike,COL,717,casual,1
FAS,Nike,COL,257,formal,1
CAS,Vans,COL,529,sport,0
ESP,Nike,WHT,477,formal,1
CAS,New Balance,NEU,266,formal,0
FAS,Adidas,BLK,756,casual,1
VIN,Adidas,BLK,106,formal,0
FAS,Vans,WHT,582,casual,1
CAS,Adidas,COL,947,sport,1
CAS,Nike,NEU,598,casual,1
SOC,Vans,BLK,721,formal,0
VIN,Nike,WHT,544,casual,0
VIN,Adidas,NEU,898,casual,0
CAS,New Balance,WHT,227,sport,1
CAS,New Balance,BLK,728,formal,0
SOC,Vans,NEU,305,sport,1
SOC,Nike,NEU,630,sport,1
ESP,Nike,NEU,170,sport,1
VIN,Converse,BLK,212,sport,0
SOC,Nike,NEU,739,casual,0
VIN,Converse,COL,980,sport,0
ESP,Converse,COL,434,casual,1
ESP,Nike,BLK,558,casual,1
CAS,Vans,COL,242,sport,0
VIN,Converse,WHT,671,casual,0
SOC,Nike,COL,881,sport,1
ESP,Adidas,WHT,220,casual,1
SOC,Vans,WHT,276,formal,1
VIN,Adidas,NEU,150,sport,0
CAS,New Balance,WHT,622,casual,1
CAS,Adidas,BLK,973,casual,1
SOC,New Balance,NEU,148,casual,0
ESP,Nike,BLK,442,formal,1
FAS,Converse,NEU,185,sport,1
ESP,Converse,COL,219,casual,1
SOC,Adidas,BLK,847,sport,0
VIN,New Balance,BLK,346,formal,0
CAS,Adidas,NEU,923,casual,1
VIN,Converse,WHT,737,casual,0
CAS,Nike,NEU,135,sport,0
CAS,Nike,COL,671,casual,1
SOC,Adidas,BLK,469,casual,0
ESP,Nike,NEU,726,sport,1
SOC,Nike,NEU,132,formal,1
FAS,Vans,WHT,859,sport,1
SOC,Nike,BLK,921,sport,0
FAS,Nike,WHT,636,formal,1
ESP,Vans,NEU,673,sport,1
FAS,Converse,NEU,368,sport,1
ESP,Nike,NEU,969,casual,1
CAS,Adidas,BLK,559,casual,1
FAS,Vans,BLK,578,formal,0
VIN,New Balance,NEU,552,casual,1
FAS,Vans,COL,240,sport,1
VIN,Converse,BLK,539,formal,1
ESP,Nike,BLK,327,casual,0
SOC,Nike,BLK,773,casual,1
CAS,Converse,COL,285,sport,1
CAS,Nike,NEU,398,casual,1
CAS,Converse,NEU,423,casual,1
VIN,New Balance,COL,217,formal,0
CAS,Vans,WHT,825,formal,0
CAS,Vans,WHT,415,casual,1
FAS,Converse,NEU,285,casual,1
FAS,Converse,WHT,350,casual,0
FAS,New Balance,COL,692,formal,1
ESP,Adidas,COL,765,casual,1
CAS,Nike,BLK,158,sport,0
ESP,Vans,NEU,436,sport,1
FAS,Nike,NEU,657,formal,0
CAS,Converse,NEU,902,formal,1
SOC,Nike,COL,183,casual,0
CAS,Vans,COL,835,formal,1
FAS,Nike,COL,443,casual,0
FAS,Converse,WHT,830,formal,0
SOC,New Balance,WHT,370,formal,1
ESP,Converse,COL,128,formal,1
VIN,Adidas,BLK,751,casual,0
VIN,Nike,NEU,201,casual,1
ESP,Vans,NEU,958,formal,1
CAS,Adidas,NEU,890,sport,1
ESP,New Balance,COL,539,sport,1
ESP,Vans,WHT,190,sport,1
FAS,New Balance,NEU,109,casual,0
VIN,Vans,WHT,493,formal,0
VIN,Nike,BLK,475,sport,0
ESP,New Balance,COL,777,formal,0
VIN,Nike,BLK,843,casual,0
FAS,Nike,COL,627,formal,0
VIN,Converse,NEU,272,formal,0
FAS,New Balance,NEU,693,formal,0
FAS,Adidas,WHT,102,formal,1
ESP,Adidas,COL,246,formal,1
FAS,Vans,WHT,259,casual,0
CAS,Adidas,NEU,422,casual,1
VIN,Converse,WHT,358,sport,1
VIN,Converse,WHT,558,casual,1
CAS,Adidas,BLK,624,sport,1
FAS,Vans,BLK,716,sport,0
FAS,Nike,WHT,168,formal,1
FAS,New Balance,COL,902,casual,1
SOC,Adidas,NEU,905,casual,1
CAS,Converse,COL,215,formal,0
FAS,Nike,BLK,149,casual,0
SOC,Nike,NEU,522,casual,1
VIN,Adidas,NEU,125,formal,0
SOC,New Balance,NEU,938,casual,0
FAS,New Balance,NEU,758,casual,1
CAS,Vans,BLK,252,formal,1
FAS,Nike,WHT,111,casual,0
VIN,Vans,COL,989,formal,1
ESP,Nike,COL,831,sport,1
ESP,Converse,COL,198,sport,1
VIN,Adidas,COL,622,formal,1
VIN,Converse,BLK,191,sport,1
FAS,Adidas,WHT,370,formal,0
VIN,Converse,BLK,239,formal,1
CAS,Nike,BLK,496,formal,1
ESP,Adidas,BLK,244,formal,0
FAS,New Balance,NEU,696,formal,0
FAS,Vans,BLK,474,casual,0
FAS,Vans,BLK,766,casual,1
CAS,Adidas,BLK,267,sport,0
CAS,Nike,NEU,360,formal,0
CAS,Vans,WHT,986,casual,1
VIN,Nike,BLK,758,sport,1
ESP,Nike,BLK,826,sport,1
VIN,Converse,BLK,588,formal,1
ESP,New Balance,BLK,824,casual,1
ESP,Nike,WHT,101,sport,1
VIN,Vans,COL,321,sport,0
SOC,New Balance,COL,286,sport,0
SOC,Converse,BLK,322,sport,0
CAS,Nike,COL,458,sport,1
ESP,Vans,BLK,997,casual,1
CAS,Nike,BLK,931,formal,0
FAS,Adidas,BLK,201,sport,0
SOC,Nike,COL,862,sport,1
CAS,Adidas,NEU,478,sport,0
CAS,New Balance,COL,616,casual,0
VIN,New Balance,BLK,206,casual,1
CAS,Vans,NEU,425,formal,0
SOC,Adidas,BLK,124,formal,1
FAS,Nike,NEU,227,sport,1
FAS,Vans,WHT,810,formal,1
VIN,Vans,WHT,636,formal,0
