tenis_marca,tenis_estilo,tenis_cores,tenis_preco,idade,genero,estado_civil,compatibilidade
Nike,Vintage,"[""Laranja"", ""Laranja""]",1156.38,20,M,Divorciado,0.71
Vans,Casual,"[""Azul"", ""Rosa""]",537.78,22,F,Casado,0.63
Puma,Streetwear,"[""Laranja""]",958.25,50,F,Casado,0.63
New Balance,Esportivo,"[""Azul""]",965.57,29,M,Viúvo,0.7
Vans,Running,"[""Vermelho"", ""Verde""]",215.22,28,M,Viúvo,0.45
Vans,Esportivo,"[""Roxo""]",975.25,50,M,Divorciado,0.42
Adidas,Basketball,"[""Vermelho"", ""Preto""]",753.57,52,F,Divorciado,0.6
Vans,Skate,"[""Branco""]",1073.52,19,M,Divorciado,0.56
Puma,Skate,"[""Cinza"", ""Preto""]",374.29,44,M,Viúvo,0.66
New Balance,Skate,"[""Azul"", ""Laranja""]",806.22,30,M,Casado,0.69
Vans,Esportivo,"[""Amarelo""]",629.58,41,Outro,Viúvo,0.62
Puma,Social,"[""Roxo"", ""Roxo""]",708.23,56,F,Solteiro,0.41
Converse,Social,"[""Rosa""]",575.48,34,M,Viúvo,0.68
Asics,Casual,"[""Rosa"", ""Rosa""]",983.09,23,F,Solteiro,0.54
Reebok,Running,"[""Laranja""]",191.33,29,F,Divorciado,0.5
Nike,Basketball,"[""Preto"", ""Verde""]",695.69,40,M,Casado,0.59
Converse,Esportivo,"[""Rosa""]",405.87,18,F,Divorciado,0.55
